marca,modelo,precio_soles,stock,tienda,Categoria
Acer,Aspire 5,2210,21,San Miguel,Oficina
HP,15-fd,2206,9,San Miguel,Oficina
HP,15-fd,2118,21,Centro de Lima,Oficina
MSI,Modern 15,3678,39,Arequipa,Profesional
ASUS,Vivobook 15,2664,23,San Miguel,Profesional
Lenovo,ThinkPad E14,3334,56,Centro de Lima,Profesional
Apple,MacBook Air M2,5416,34,Surco,Gaming
Dell,Inspiron 15,2850,31,Los Olivos,Profesional
Acer,Nitro V 15,3618,8,Trujillo,Profesional
Dell,Vostro 3520,3131,24,San Isidro,Profesional
ASUS,Zenbook 14,4276,7,Miraflores,Gaming
Apple,MacBook Air M2,4973,42,Trujillo,Gaming
Lenovo,IdeaPad Slim 3,2723,58,Surco,Profesional
Apple,MacBook Air M2,4981,47,Los Olivos,Gaming
Acer,Nitro V 15,4070,4,Piura,Gaming
Dell,Inspiron 15,2869,48,Surco,Profesional
Lenovo,IdeaPad Slim 3,2826,52,Piura,Profesional
Acer,Aspire 5,2345,44,San Isidro,Oficina
HP,15-fd,2095,57,Piura,Oficina
ASUS,Zenbook 14,5026,33,Centro de Lima,Gaming
HP,15-fd,2589,53,Piura,Profesional
Apple,MacBook Air M2,5362,52,Los Olivos,Gaming
ASUS,Vivobook 15,3014,30,Los Olivos,Profesional
ASUS,Vivobook 15,2568,16,Arequipa,Profesional
HP,15-fd,2594,52,San Isidro,Profesional
Apple,MacBook Air M3,5883,51,San Miguel,Premium
ASUS,Zenbook 14,4313,48,San Miguel,Gaming
MSI,Katana 15,5261,24,Chiclayo,Gaming
Lenovo,ThinkPad E14,3251,42,San Isidro,Profesional
ASUS,Vivobook 15,2896,60,Arequipa,Profesional
MSI,Modern 15,3203,59,San Isidro,Profesional
Acer,Nitro V 15,3911,5,Chiclayo,Profesional
HP,Pavilion 15,3599,27,Centro de Lima,Profesional
Apple,MacBook Air M2,4910,9,San Miguel,Gaming
MSI,Katana 15,5220,19,Chiclayo,Gaming
Dell,Inspiron 15,2670,55,Miraflores,Profesional
Dell,Inspiron 15,2838,43,Trujillo,Profesional
Lenovo,IdeaPad Slim 3,3059,26,Centro de Lima,Profesional
Dell,Vostro 3520,2959,1,Chiclayo,Profesional
Apple,MacBook Air M3,5637,12,Chiclayo,Premium
HP,15-fd,1960,20,Miraflores,Oficina
MSI,Katana 15,4971,57,San Isidro,Gaming
Acer,Nitro V 15,3663,12,San Isidro,Profesional
HP,Pavilion 15,3660,39,San Miguel,Profesional
HP,Pavilion 15,3416,2,Chiclayo,Profesional
HP,15-fd,2220,16,San Miguel,Oficina
HP,Pavilion 15,2958,47,Piura,Profesional
Dell,Vostro 3520,2672,24,San Isidro,Profesional
ASUS,Zenbook 14,4257,20,Trujillo,Gaming
MSI,Modern 15,2988,6,Surco,Profesional
Dell,Vostro 3520,2468,11,Surco,Oficina
Lenovo,IdeaPad Slim 3,2522,4,Centro de Lima,Profesional
Apple,MacBook Air M2,4779,47,Surco,Gaming
Lenovo,IdeaPad Slim 3,3072,50,Miraflores,Profesional
Acer,Nitro V 15,4332,19,Surco,Gaming
Apple,MacBook Air M2,4625,57,San Miguel,Gaming
HP,Pavilion 15,3510,1,Los Olivos,Profesional
Lenovo,ThinkPad E14,3480,56,Chiclayo,Profesional
HP,Pavilion 15,3273,4,Centro de Lima,Profesional
Dell,Inspiron 15,3148,43,Surco,Profesional
HP,15-fd,2409,43,Arequipa,Oficina
Acer,Aspire 5,2559,20,San Miguel,Profesional
Dell,Inspiron 15,3238,13,Piura,Profesional
Acer,Nitro V 15,4071,6,Arequipa,Gaming
HP,15-fd,2448,54,Surco,Oficina
MSI,Katana 15,5529,40,Los Olivos,Premium
Acer,Nitro V 15,3931,23,Los Olivos,Profesional
Dell,Inspiron 15,3489,38,Chiclayo,Profesional
ASUS,Zenbook 14,4892,57,Miraflores,Gaming
Lenovo,ThinkPad E14,3128,51,Surco,Profesional
HP,15-fd,2451,18,Chiclayo,Oficina
HP,15-fd,1826,6,Surco,Oficina
Acer,Nitro V 15,3738,31,Centro de Lima,Profesional
MSI,Katana 15,5701,59,Centro de Lima,Premium
Dell,Vostro 3520,2487,57,San Isidro,Oficina
