id_laptop,marca,modelo,precio_soles,stock,tienda,categoria
1,Acer,Aspire 5,2210.0,21,San Miguel,Oficina
2,HP,15-fd,2206.0,9,San Miguel,Oficina
3,HP,15-fd,2118.0,21,Centro de Lima,Oficina
4,MSI,Modern 15,3678.0,39,Arequipa,Profesional
5,ASUS,Vivobook 15,2664.0,23,San Miguel,Profesional
6,Lenovo,ThinkPad E14,3334.0,56,Centro de Lima,Profesional
7,Apple,MacBook Air M2,5416.0,34,Surco,Gaming
8,Dell,Inspiron 15,2850.0,31,Los Olivos,Profesional
9,Acer,Nitro V 15,3618.0,8,Trujillo,Profesional
10,Dell,Vostro 3520,3131.0,24,San Isidro,Profesional
11,ASUS,Zenbook 14,4276.0,7,Miraflores,Gaming
12,Apple,MacBook Air M2,4973.0,42,Trujillo,Gaming
13,Lenovo,IdeaPad Slim 3,2723.0,58,Surco,Profesional
14,Apple,MacBook Air M2,4981.0,47,Los Olivos,Gaming
15,Acer,Nitro V 15,4070.0,4,Piura,Gaming
16,Dell,Inspiron 15,2869.0,48,Surco,Profesional
17,Lenovo,IdeaPad Slim 3,2826.0,52,Piura,Profesional
18,Acer,Aspire 5,2345.0,44,San Isidro,Oficina
19,HP,15-fd,2095.0,57,Piura,Oficina
20,ASUS,Zenbook 14,5026.0,33,Centro de Lima,Gaming
21,HP,15-fd,2589.0,53,Piura,Profesional
22,Apple,MacBook Air M2,5362.0,52,Los Olivos,Gaming
23,ASUS,Vivobook 15,3014.0,30,Los Olivos,Profesional
24,ASUS,Vivobook 15,2568.0,16,Arequipa,Profesional
25,HP,15-fd,2594.0,52,San Isidro,Profesional
26,Apple,MacBook Air M3,5883.0,51,San Miguel,Premium
27,ASUS,Zenbook 14,4313.0,48,San Miguel,Gaming
28,MSI,Katana 15,5261.0,24,Chiclayo,Gaming
29,Lenovo,ThinkPad E14,3251.0,42,San Isidro,Profesional
30,ASUS,Vivobook 15,2896.0,60,Arequipa,Profesional
31,MSI,Modern 15,3203.0,59,San Isidro,Profesional
32,Acer,Nitro V 15,3911.0,5,Chiclayo,Profesional
33,HP,Pavilion 15,3599.0,27,Centro de Lima,Profesional
34,Apple,MacBook Air M2,4910.0,9,San Miguel,Gaming
35,MSI,Katana 15,5220.0,19,Chiclayo,Gaming
36,Dell,Inspiron 15,2670.0,55,Miraflores,Profesional
37,Dell,Inspiron 15,2838.0,43,Trujillo,Profesional
38,Lenovo,IdeaPad Slim 3,3059.0,26,Centro de Lima,Profesional
39,Dell,Vostro 3520,2959.0,1,Chiclayo,Profesional
40,Apple,MacBook Air M3,5637.0,12,Chiclayo,Premium
41,HP,15-fd,1960.0,20,Miraflores,Oficina
42,MSI,Katana 15,4971.0,57,San Isidro,Gaming
43,Acer,Nitro V 15,3663.0,12,San Isidro,Profesional
44,HP,Pavilion 15,3660.0,39,San Miguel,Profesional
45,HP,Pavilion 15,3416.0,2,Chiclayo,Profesional
46,HP,15-fd,2220.0,16,San Miguel,Oficina
47,HP,Pavilion 15,2958.0,47,Piura,Profesional
48,Dell,Vostro 3520,2672.0,24,San Isidro,Profesional
49,ASUS,Zenbook 14,4257.0,20,Trujillo,Gaming
50,MSI,Modern 15,2988.0,6,Surco,Profesional
51,Dell,Vostro 3520,2468.0,11,Surco,Oficina
52,Lenovo,IdeaPad Slim 3,2522.0,4,Centro de Lima,Profesional
53,Apple,MacBook Air M2,4779.0,47,Surco,Gaming
54,Lenovo,IdeaPad Slim 3,3072.0,50,Miraflores,Profesional
55,Acer,Nitro V 15,4332.0,19,Surco,Gaming
56,Apple,MacBook Air M2,4625.0,57,San Miguel,Gaming
57,HP,Pavilion 15,3510.0,1,Los Olivos,Profesional
58,Lenovo,ThinkPad E14,3480.0,56,Chiclayo,Profesional
59,HP,Pavilion 15,3273.0,4,Centro de Lima,Profesional
60,Dell,Inspiron 15,3148.0,43,Surco,Profesional
61,HP,15-fd,2409.0,43,Arequipa,Oficina
62,Acer,Aspire 5,2559.0,20,San Miguel,Profesional
63,Dell,Inspiron 15,3238.0,13,Piura,Profesional
64,Acer,Nitro V 15,4071.0,6,Arequipa,Gaming
65,HP,15-fd,2448.0,54,Surco,Oficina
66,MSI,Katana 15,5529.0,40,Los Olivos,Premium
67,Acer,Nitro V 15,3931.0,23,Los Olivos,Profesional
68,Dell,Inspiron 15,3489.0,38,Chiclayo,Profesional
69,ASUS,Zenbook 14,4892.0,57,Miraflores,Gaming
70,Lenovo,ThinkPad E14,3128.0,51,Surco,Profesional
71,HP,15-fd,2451.0,18,Chiclayo,Oficina
72,HP,15-fd,1826.0,6,Surco,Oficina
73,Acer,Nitro V 15,3738.0,31,Centro de Lima,Profesional
74,MSI,Katana 15,5701.0,59,Centro de Lima,Premium
75,Dell,Vostro 3520,2487.0,57,San Isidro,Oficina
76,Acer,Aspire 5,2602.0,53,Los Olivos,Profesional
77,ASUS,Zenbook 14,4843.0,48,San Miguel,Gaming
78,Apple,MacBook Air M2,5050.0,18,Los Olivos,Gaming
79,Apple,MacBook Air M3,6322.0,54,Trujillo,Premium
80,HP,15-fd,2292.0,10,Piura,Oficina
81,Lenovo,ThinkPad E14,3975.0,53,Trujillo,Profesional
82,Apple,MacBook Air M2,4662.0,12,Piura,Gaming
83,Dell,Vostro 3520,3230.0,10,San Miguel,Profesional
84,ASUS,Zenbook 14,4384.0,2,Chiclayo,Gaming
85,MSI,Katana 15,4956.0,30,San Miguel,Gaming
86,Dell,Vostro 3520,2588.0,12,Miraflores,Profesional
87,Dell,Vostro 3520,2907.0,2,Chiclayo,Profesional
88,Acer,Aspire 5,2894.0,21,Chiclayo,Profesional
89,HP,15-fd,2258.0,33,San Isidro,Oficina
90,Apple,MacBook Air M3,6091.0,52,San Miguel,Premium
91,Dell,Vostro 3520,2826.0,34,Arequipa,Profesional
92,Lenovo,IdeaPad Slim 3,2488.0,37,Arequipa,Oficina
93,MSI,Katana 15,5609.0,27,Miraflores,Premium
94,Apple,MacBook Air M2,5471.0,22,Trujillo,Gaming
95,ASUS,Zenbook 14,4420.0,37,San Isidro,Gaming
96,MSI,Katana 15,5349.0,47,Centro de Lima,Gaming
97,HP,Pavilion 15,3515.0,45,Piura,Profesional
98,MSI,Modern 15,3034.0,21,Miraflores,Profesional
99,MSI,Modern 15,3597.0,55,Piura,Profesional
100,Acer,Nitro V 15,4006.0,11,Trujillo,Gaming
101,ASUS,Zenbook 14,4916.0,39,Miraflores,Gaming
102,Lenovo,ThinkPad E14,3808.0,10,Miraflores,Profesional
103,Apple,MacBook Air M3,6386.0,42,Piura,Premium
104,Apple,MacBook Air M3,5616.0,6,Surco,Premium
105,Lenovo,ThinkPad E14,3234.0,51,San Miguel,Profesional
106,Lenovo,ThinkPad E14,3411.0,48,Arequipa,Profesional
107,HP,Pavilion 15,3717.0,34,Miraflores,Profesional
108,Lenovo,ThinkPad E14,3332.0,44,Arequipa,Profesional
109,MSI,Katana 15,5109.0,56,Chiclayo,Gaming
110,Dell,Inspiron 15,2932.0,9,San Isidro,Profesional
111,HP,15-fd,1808.0,50,Surco,Oficina
112,Apple,MacBook Air M2,5033.0,27,San Miguel,Gaming
113,Dell,Vostro 3520,2543.0,35,Piura,Profesional
114,HP,15-fd,2578.0,24,Miraflores,Profesional
115,HP,Pavilion 15,2927.0,25,San Isidro,Profesional
116,Dell,Inspiron 15,2834.0,37,Chiclayo,Profesional
117,Lenovo,IdeaPad Slim 3,2751.0,22,Chiclayo,Profesional
118,Apple,MacBook Air M2,5090.0,11,Los Olivos,Gaming
119,Apple,MacBook Air M2,4631.0,1,Chiclayo,Gaming
